seed,fold,encoder_route,input_variant,evaluation_set,auprc,auroc,brier,ece,calibration_intercept,calibration_slope,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
20260522,3,jnu_only,full,development_oof,0.3091735109281163,0.6191553544494721,0.23854385481165832,0.2603027631550381,-1.3451638255911476,0.505537599406333,258,128,53,26,15,3.533333333333333
20260522,3,jnu_asymmetric,full,development_oof,0.2907481857082869,0.5965309200603318,0.24804159455905045,0.2603634123845157,-1.3426532947319254,0.3860797992275188,258,128,53,26,15,3.533333333333333
20260522,3,ctu_only,full,development_oof,0.28266320181515187,0.6210407239819005,0.23788486522971808,0.24068039641916503,-1.3131977770317738,0.40120809049607564,258,128,53,26,15,3.533333333333333
20260522,3,jnu_to_ctu,full,development_oof,0.3035937681174464,0.6398944193061841,0.23382061363790194,0.2572544152182112,-1.3477289251556126,0.5453752912477282,258,128,53,26,15,3.533333333333333
20260522,3,ctu_only,fhr_only,development_sensitivity,0.2944258619623624,0.6168929110105581,0.24691429555160727,0.25632048473439206,-1.3354938346573662,0.34635140961827726,258,128,53,26,15,3.533333333333333
20260522,3,ctu_only,uc_only,development_sensitivity,0.3227909621772719,0.5716440422322775,0.2471694534776021,0.26795780531724167,-1.3235683113989036,0.31043257877121777,258,128,53,26,15,3.533333333333333
20260522,3,ctu_only,one_hz,development_sensitivity,0.2716832507164438,0.6018099547511312,0.24679868715353923,0.245040282924497,-1.3167353040928096,0.3201817203993924,258,128,53,26,15,3.533333333333333
20260522,3,jnu_to_ctu,fhr_only,development_sensitivity,0.35385167518049154,0.6787330316742082,0.23008439844934375,0.2572372583046602,-1.3646653430160387,0.592233460356482,258,128,53,26,15,3.533333333333333
20260522,3,jnu_to_ctu,uc_only,development_sensitivity,0.305541619730628,0.6059577677224737,0.2449942668776587,0.26579650369282143,-1.3528791690006912,0.4593287160557989,258,128,53,26,15,3.533333333333333
20260522,3,jnu_to_ctu,one_hz,development_sensitivity,0.3126426797066866,0.6504524886877828,0.23188610397843634,0.2545988794545722,-1.343904850031766,0.5512914864474959,258,128,53,26,15,3.533333333333333
20260523,1,random,full,development_oof,0.3367156344767753,0.611837327523602,0.22946878844907737,0.22692681728427957,-1.192938576038348,0.3300732775048191,257,129,52,27,15,3.466666666666667
20260523,1,jnu_only,full,development_oof,0.3202115720730383,0.6089324618736384,0.23196492727843898,0.2116399803979184,-1.2132167586942588,0.33927025465539795,257,129,52,27,15,3.466666666666667
20260523,1,jnu_asymmetric,full,development_oof,0.31285161964611685,0.574074074074074,0.22715947988164673,0.22023341607499086,-1.1990881682145804,0.27920032668570777,257,129,52,27,15,3.466666666666667
20260523,1,ctu_only,full,development_oof,0.29633109190122264,0.6027596223674654,0.2390506088984895,0.2080873365267857,-1.2041184146830841,0.2711653236551628,257,129,52,27,15,3.466666666666667
20260523,1,jnu_to_ctu,full,development_oof,0.31397352292341757,0.6223674655047204,0.2304891401451893,0.21961801391629618,-1.2118815540973613,0.3372218118619436,257,129,52,27,15,3.466666666666667
20260523,1,ctu_only,fhr_only,development_sensitivity,0.2721035979294306,0.5893246187363834,0.23694279768378448,0.21653435258913253,-1.2049396781445714,0.2403018470741678,257,129,52,27,15,3.466666666666667
20260523,1,ctu_only,uc_only,development_sensitivity,0.35325529325224747,0.6100217864923747,0.2240808560634417,0.23702713209857795,-1.1982409323336873,0.3764973106019256,257,129,52,27,15,3.466666666666667
20260523,1,ctu_only,one_hz,development_sensitivity,0.3085623631787152,0.6122004357298475,0.23502374175859747,0.2223899697165128,-1.1925802793586695,0.2981975046622221,257,129,52,27,15,3.466666666666667
20260523,1,jnu_to_ctu,fhr_only,development_sensitivity,0.2516205716537516,0.5522875816993464,0.2586974542329975,0.25120653237834417,-1.265780562260694,0.09140798007888608,257,129,52,27,15,3.466666666666667
20260523,1,jnu_to_ctu,uc_only,development_sensitivity,0.3716098508864996,0.6027596223674655,0.22561753671673082,0.20889986638904506,-1.2048063514318927,0.3694026311952145,257,129,52,27,15,3.466666666666667
