seed,route,task,n,positives,auprc,auroc,balanced_accuracy,f1
20260525,classical_signal,any_deceleration_early,386,188,0.7072864246864056,0.7364603481624759,0.6812003008811519,0.6737400530503979
20260525,classical_signal,any_deceleration_late,386,74,0.2813288954343057,0.6512040887040887,0.6336191961191961,0.3983402489626556
20260525,classical_signal,any_deceleration_prolonged,386,19,0.16302379194712885,0.7630861895884125,0.7095224437114585,0.22018348623853212
20260525,classical_signal,any_deceleration_variable,386,196,0.6706815592650817,0.6890440386680989,0.6342642320085929,0.6483790523690773
20260525,classical_signal,any_tachycardia,386,29,0.6759571823957076,0.9575002414759007,0.9239350912778905,0.5656565656565656
20260525,ctu_only,any_acceleration,386,187,0.6697544462418978,0.6881734877596538,0.6226856206164513,0.6256410256410256
20260525,ctu_only,any_deceleration,386,284,0.8818439312098411,0.7395401822700913,0.687206572769953,0.7745664739884393
20260525,ctu_only,any_deceleration_early,386,188,0.6705792837785849,0.6735976789168279,0.6086127229744251,0.5994694960212201
20260525,ctu_only,any_deceleration_late,386,74,0.21897967481842062,0.5281964656964657,0.5071898821898821,0.26548672566371684
20260525,ctu_only,any_deceleration_prolonged,386,19,0.0976077606869736,0.500215115445289,0.5643195181414026,0.12280701754385964
20260525,ctu_only,any_deceleration_variable,386,196,0.6825815886149491,0.6718313641245973,0.6368152524167562,0.6517412935323383
20260525,ctu_only,any_tachycardia,386,29,0.15528754270272938,0.6525644740654882,0.6018545349174153,0.20689655172413793
20260525,jnu_asymmetric,any_acceleration,386,187,0.6163102973576045,0.6705989842259426,0.6270658103350979,0.6210526315789474
20260525,jnu_asymmetric,any_deceleration,386,284,0.8474769508736227,0.6674951670809168,0.6415700082850042,0.73828125
20260525,jnu_asymmetric,any_deceleration_early,386,188,0.6146297424226888,0.6377337201805287,0.5929239200515797,0.5813333333333334
20260525,jnu_asymmetric,any_deceleration_late,386,74,0.19334480005323096,0.49068780318780325,0.4785602910602911,0.23318385650224216
20260525,jnu_asymmetric,any_deceleration_prolonged,386,19,0.05455785273126011,0.43467660978058226,0.5284669439265739,0.1
20260525,jnu_asymmetric,any_deceleration_variable,386,196,0.6657493288540868,0.6465628356605801,0.6215896885069818,0.6294416243654822
20260525,jnu_asymmetric,any_tachycardia,386,29,0.12979274415369765,0.6554621848739497,0.528687337003767,0.1391304347826087
20260525,jnu_only,any_acceleration,386,187,0.6653069781765965,0.6779888748555613,0.6410797302018112,0.6463104325699746
20260525,jnu_only,any_deceleration,386,284,0.9137987316919384,0.801919359293013,0.7202775476387738,0.8127340823970037
20260525,jnu_only,any_deceleration_early,386,188,0.7569564818062722,0.7599666881581775,0.6995486782720826,0.6947368421052632
20260525,jnu_only,any_deceleration_late,386,74,0.2587193012366897,0.5838963963963963,0.5749740124740125,0.33488372093023255
20260525,jnu_only,any_deceleration_prolonged,386,19,0.09552622135195155,0.6536641330847555,0.6305750752904058,0.16981132075471697
20260525,jnu_only,any_deceleration_variable,386,196,0.6939239604821806,0.7105263157894737,0.6633727175080558,0.6632124352331606
20260525,jnu_only,any_tachycardia,386,29,0.24443415795215143,0.6801893171061528,0.6465758717280016,0.24193548387096775
20260525,jnu_to_ctu,any_acceleration,386,187,0.6533986522358095,0.6735549404777901,0.6121516674280494,0.6134020618556701
20260525,jnu_to_ctu,any_deceleration,386,284,0.9138617915269366,0.7998135874067938,0.7093344380005524,0.7938931297709924
20260525,jnu_to_ctu,any_deceleration_early,386,188,0.7547257639328144,0.7541371158392436,0.6964861379754996,0.6863270777479893
20260525,jnu_to_ctu,any_deceleration_late,386,74,0.2619005442967839,0.5961971586971587,0.5794352044352045,0.33816425120772947
20260525,jnu_to_ctu,any_deceleration_prolonged,386,19,0.08616481058533731,0.6016061953248243,0.6015344901763946,0.14953271028037382
20260525,jnu_to_ctu,any_deceleration_variable,386,196,0.6942271445374812,0.7029806659505908,0.6609022556390978,0.6579634464751958
20260525,jnu_to_ctu,any_tachycardia,386,29,0.2875994948529565,0.7130300396020477,0.6922631121414082,0.288135593220339
20260525,random,any_acceleration,386,187,0.6562854898318786,0.6659231988821112,0.6145029962647461,0.612987012987013
20260525,random,any_deceleration,386,284,0.8643620878062237,0.7088511460922396,0.6725006904170119,0.7701149425287356
20260525,random,any_deceleration_early,386,188,0.6834329099795018,0.6640608209757145,0.6118095852138405,0.6113989637305699
20260525,random,any_deceleration_late,386,74,0.22414093631499632,0.5336971586971587,0.4840609840609841,0.24347826086956523
20260525,random,any_deceleration_prolonged,386,19,0.05467395272166828,0.4636454897461638,0.5575075290405851,0.11764705882352941
20260525,random,any_deceleration_variable,386,196,0.6091132314488711,0.6059613319011815,0.5928034371643394,0.6084788029925187
20260525,random,any_tachycardia,386,29,0.18114408931050413,0.7057857625808944,0.6610161305901672,0.25196850393700787
