model,calibration,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
signal_10_plus_ssl_pca5,platt,0.35,0.011584800741427252,-0.2233549582947173,0.0
signal_10_plus_ssl_pca5,platt,0.36,0.012801204819277115,-0.2424698795180723,0.0
signal_10_plus_ssl_pca5,platt,0.37,0.021323388793268304,-0.2621916236374068,0.0
signal_10_plus_ssl_pca5,platt,0.38,0.023319082782743875,-0.28254955305091334,0.0
signal_10_plus_ssl_pca5,platt,0.39,0.023405095793008094,-0.30357495555994474,0.0
signal_10_plus_ssl_pca5,platt,0.4,0.01606425702811245,-0.32530120481927716,0.0
signal_10_plus_ssl_pca5,platt,0.41,0.00867878292832347,-0.3477639371043495,0.0
signal_10_plus_ssl_pca5,platt,0.42,0.0116327378479435,-0.3710012463647694,0.0
signal_10_plus_ssl_pca5,platt,0.43,0.010357218347072504,-0.39505389980976535,0.0
signal_10_plus_ssl_pca5,platt,0.44,0.009036144578313254,-0.41996557659208267,0.0
signal_10_plus_ssl_pca5,platt,0.45,0.007667031763417306,-0.4457831325301205,0.0
signal_10_plus_ssl_pca5,platt,0.46,0.006247211066488172,-0.4725568942436412,0.0
signal_10_plus_ssl_pca5,platt,0.47,-0.0012502841554898822,-0.5003409865878609,0.0
signal_10_plus_ssl_pca5,platt,0.48,0.0027803521779425425,-0.5291936978683967,0.0
signal_10_plus_ssl_pca5,platt,0.49,0.0014174344436569813,-0.5591778880226789,0.0
signal_10_plus_ssl_pca5,platt,0.5,0.012048192771084335,-0.5903614457831325,0.0
signal_10_plus_ssl_pca5,raw,0.05,0.16296766011414077,0.16296766011414077,0.0
signal_10_plus_ssl_pca5,raw,0.060000000000000005,0.1540630607536529,0.1540630607536529,0.0
signal_10_plus_ssl_pca5,raw,0.07,0.14587381785205336,0.14496696463272443,0.0
signal_10_plus_ssl_pca5,raw,0.08,0.13724463069669984,0.13567312729177577,0.0
signal_10_plus_ssl_pca5,raw,0.09,0.1279623990467364,0.12617502978948764,0.0
signal_10_plus_ssl_pca5,raw,0.1,0.11914323962516732,0.11646586345381525,0.0
signal_10_plus_ssl_pca5,raw,0.11,0.1102612697982943,0.10653851360498172,0.0
signal_10_plus_ssl_pca5,raw,0.12000000000000001,0.10213581599123765,0.09638554216867468,0.0
signal_10_plus_ssl_pca5,raw,0.13,0.0871762913723861,0.0859991690901537,0.0
signal_10_plus_ssl_pca5,raw,0.14,0.0771924908938078,0.07537125245166712,0.0
signal_10_plus_ssl_pca5,raw,0.15000000000000002,0.06909992912827778,0.06449326718639259,0.0
signal_10_plus_ssl_pca5,raw,0.16,0.06110154905335627,0.05335628227194489,0.0
signal_10_plus_ssl_pca5,raw,0.16999999999999998,0.04115256205545073,0.041950936275221395,0.0
signal_10_plus_ssl_pca5,raw,0.18,0.030708198648251556,0.03026741110784603,0.0
signal_10_plus_ssl_pca5,raw,0.19,0.022832069016807954,0.018295403837572527,0.0
signal_10_plus_ssl_pca5,raw,0.2,0.016566265060240948,0.00602409638554216,0.0
signal_10_plus_ssl_pca5,raw,0.21000000000000002,0.008998017385999674,-0.006557877077932012,0.0
signal_10_plus_ssl_pca5,raw,0.22000000000000003,0.0015446400988569364,-0.019462465245597832,0.0
signal_10_plus_ssl_pca5,raw,0.22999999999999998,-0.003989985917696753,-0.03270223752151463,0.0
signal_10_plus_ssl_pca5,raw,0.24,-0.014901712111604293,-0.04629042485732404,0.0
signal_10_plus_ssl_pca5,raw,0.25,-0.02409638554216867,-0.06024096385542166,0.0
signal_10_plus_ssl_pca5,raw,0.26,-0.03305112341256922,-0.07456854444806255,0.0
signal_10_plus_ssl_pca5,raw,0.27,-0.04811024921604229,-0.0892886614952963,0.0
signal_10_plus_ssl_pca5,raw,0.28,-0.05488621151271758,-0.104417670682731,0.0
signal_10_plus_ssl_pca5,raw,0.29,-0.061513660274902404,-0.11997284914305112,0.0
signal_10_plus_ssl_pca5,raw,0.3,-0.06884681583476768,-0.13597246127366613,0.0
signal_10_plus_ssl_pca5,raw,0.31,-0.07551946918107216,-0.1524358302776323,0.0
signal_10_plus_ssl_pca5,raw,0.32,-0.0928419560595323,-0.16938341601700924,0.0
signal_10_plus_ssl_pca5,raw,0.33,-0.10456752382664994,-0.1868368998381587,0.0
signal_10_plus_ssl_pca5,raw,0.33999999999999997,-0.10697334793720328,-0.20481927710843367,0.0
signal_10_plus_ssl_pca5,raw,0.35,-0.11214087117701574,-0.2233549582947173,0.0
signal_10_plus_ssl_pca5,raw,0.36,-0.12650602409638553,-0.2424698795180723,0.0
signal_10_plus_ssl_pca5,raw,0.37,-0.14094473130617707,-0.2621916236374068,0.0
signal_10_plus_ssl_pca5,raw,0.38,-0.1577924601632336,-0.28254955305091334,0.0
signal_10_plus_ssl_pca5,raw,0.39,-0.16235433537428404,-0.30357495555994474,0.0
signal_10_plus_ssl_pca5,raw,0.4,-0.17269076305220887,-0.32530120481927716,0.0
signal_10_plus_ssl_pca5,raw,0.41,-0.17255462528078408,-0.3477639371043495,0.0
signal_10_plus_ssl_pca5,raw,0.42,-0.19090153718321562,-0.3710012463647694,0.0
signal_10_plus_ssl_pca5,raw,0.43,-0.18695835975480862,-0.39505389980976535,0.0
signal_10_plus_ssl_pca5,raw,0.44,-0.185025817555938,-0.41996557659208267,0.0
signal_10_plus_ssl_pca5,raw,0.45,-0.19715224534501635,-0.4457831325301205,0.0
signal_10_plus_ssl_pca5,raw,0.46,-0.20972780008924585,-0.4725568942436412,0.0
signal_10_plus_ssl_pca5,raw,0.47,-0.22345987724482835,-0.5003409865878609,0.0
signal_10_plus_ssl_pca5,raw,0.48,-0.22567191844300272,-0.5291936978683967,0.0
signal_10_plus_ssl_pca5,raw,0.49,-0.23328608551854474,-0.5591778880226789,0.0
signal_10_plus_ssl_pca5,raw,0.5,-0.22891566265060243,-0.5903614457831325,0.0
